OK,好的,OK,ButtonOK,好的
"This is the end, General. This conversation has no purpose.",到此为止吧，将军。这些话没有任何意义。,SubtitlesLocalizationsDialogs_VolkovEntrance_Subtitle5,Subtitles,到此为止了，将军。 这种谈话没有任何意义。
"I know you loved it, Vasily. And I’m sure you’re gonna love this!",我知道你喜欢，瓦西里。我确信你会喜欢上它的！,SubtitlesLocalizationsDialogs_VolkovEntrance_Subtitle6,Subtitles,我知道你很喜欢杀戮，瓦西里。 我也相信你会喜欢这个！
You need to shut down his defence systems first. The security terminals are in the rooms to the left and to the right of the elevator.,你得先关掉他的防御系统。安保终端就在电梯两侧的房间里。,SubtitlesLocalizationsDialogs_VolkovFightSaharovHint_Subtitle,Subtitles,你需要先关闭他的防御系统。 安全终端位于电梯两侧的房间内。
"Come, Vasily. I can't wait to see you in person after all these years.",来吧，瓦西里。过了这么多年，我已经等不及想当面见你了。,SubtitlesLocalizationsDialogs_VolkovSummon_Subtitle,Subtitles,来吧，瓦西里。 这些年来，我迫不及待想要亲自见到你。
"Vasily, listen...",瓦西里，听着……,SubtitlesLocalizationsDialogs_WhatHaveTheyDone_Subtitle1,Subtitles,瓦西里，听着...
What have they done to them...?,他们对那些人做了什么...？,SubtitlesLocalizationsDialogs_WhatHaveTheyDone_Subtitle2,Subtitles,"他们做了什么...？
"
Press {0} to perform a stealth kill when standing behind an enemy.,位于敌人背后时按 {0} 进行暗杀。,TutorialAButtonSilentKill,Tutorial,当站在敌人时候时，按下 {0} 来发动潜行击杀。
Press {0} + {1} or {2} to strike from a dodge roll.,在闪避翻滚时按 {0} + {1} 或 {2} 进行攻击。,TutorialAttackFromRoll,Tutorial,在翻滚躲避时按下 {0}+{1} 或 {0}+{2} 发动攻击。
Press {0} to punch an enemy and {1} to kick multiple enemies.,按 {0} 来拳击单体敌人或按 {1} 来踢击复数敌人。,TutorialAttackXAndYButtons,Tutorial,按下 {0} 使出拳头攻击 或者按 {1} 使用踢技攻击复数敌人。
Hold {0} to block.,按住 {0} 进行格挡。,TutorialBBlockButton,Tutorial,按住 {0} 格挡进攻。
Press Right Stick + {0} to disarm an enemy with a firearm.,按右摇杆 + {0} 来夺取敌人枪械。,TutorialDisarm,Tutorial,按下 {0} + {1} 缴械一位携带枪械的敌人
Press Right Stick + {0} to dismember a mutant,按右摇杆 + {0} 来肢解变异怪物。,TutorialDismember,Tutorial,按下 {0} + {1} 肢解一个变种敌人
Use the Right Stick to draw your weapon and aim. Press the Right Trigger to shoot.,用右摇杆拔出武器并瞄准。按右扳机键进行射击。,TutorialDrawWeaponAndShoot,Tutorial,使用右摇杆拔出武器并瞄准。按下右扳机键射击。
Hold {0} to draw your weapon and aim. Press {1} to shoot.,按住 {0} 拔出武器并瞄准。按 {1} 进行射击。,TutorialDrawWeaponAndShootKeyboard,Tutorial,按住 {0} 拔出武器并瞄准。按下 {1} 射击。
Use the Right Stick to draw your weapon and aim. Press the R2 to shoot.,用右摇杆拔出武器并瞄准。按 R2 进行射击。,TutorialDrawWeaponAndShootR2,Tutorial,使用右操作桿出武器并瞄准。按下R2键射击。
Use the Right Stick to draw your weapon and aim. Press the ZR to shoot.,用右摇杆拔出武器并瞄准。按 RT 进行射击。,TutorialDrawWeaponAndShootZR,Tutorial,使用右摇杆拔出武器并瞄准。按下右扳机键射击。
Press {0} when an object is outlined in orange to perform an environment kill.,当物体出现橙色轮廓时按 {0} 来进行环境处决。,TutorialEnvironmentalKills,Tutorial,当一个物体边缘散发出橘色光芒，按下 {0} 来执行一次环境击杀。
Environment kills are possible when both you and your enemy are close to certain objects. ,当你和敌人都接近特定物体时可以发动环境处决。,TutorialEnvironmentalKills2,Tutorial,环境击杀可以在你和敌人同时接近特定物体时被触发。
Press {0} to execute an enemy marked with a red skull.,按 {0} 来处决头顶有红色骷髅标志的敌人。,TutorialFinishKills,Tutorial,按下 {0} 处决头顶有红骷髅标志的敌人。
"Executions, multiple kills, and kills with environment objects replenish your vitality!",处决，复数击杀，和环境处决能恢复你的生命！,TutorialFinishKills2,Tutorial,处决，连杀，和利用环境物体击杀敌人能恢复你的生命值。
Hold {0} to grab a barrel and release to throw it in the direction you are facing.,按住 {0} 抓取木桶，松开按键能往你面对的方向进行投掷。,TutorialHoldAButtonToHoldAndThrow,Tutorial,按住 {0} 抓取木桶，通过松开按键可以将其投向角色面对的方向。
Hold {0} to execute heavy enemies,长按 {0} 来处决重型敌人。,TutorialHoldBToExecute,Tutorial,按住 {0} 来处决重甲敌人。
Hold {0} or {1} to charge a powerful attack.,按住 {0} 或 {1} 来蓄力发动强力攻击。,TutorialHoldXYToCharge,Tutorial,按住 {0} 或 {1} 蓄力发动充能攻击。
Backspace,后撤键,TutorialInputKeyLocalizedBackspace,Tutorial,回车键
DOWN,向下键,TutorialInputKeyLocalizedNameDown,Tutorial,下
LEFT,向左键,TutorialInputKeyLocalizedNameLeft,Tutorial,左
Left Alt,左Alt键,TutorialInputKeyLocalizedNameLeftAlt,Tutorial,左Alt
Left Ctrl,左Ctrl键,TutorialInputKeyLocalizedNameLeftControl,Tutorial,左Ctrl
LMB,鼠标左键,TutorialInputKeyLocalizedNameLeftMouseButton,Tutorial,鼠标左键
Left shift,左Shift键,TutorialInputKeyLocalizedNameLeftShift,Tutorial,左Shift
MMB,鼠标中键,TutorialInputKeyLocalizedNameMiddleMouseButton,Tutorial,鼠标中键
Mouse Wheel Down,滚轮向下,TutorialInputKeyLocalizedNameMouseWheelDown,Tutorial,滚轮向下
Mouse Wheel Up,滚轮向上,TutorialInputKeyLocalizedNameMouseWheelUp,Tutorial,滚轮向上
RIGHT,向右键,TutorialInputKeyLocalizedNameRight,Tutorial,右
Right Alt,右Alt键,TutorialInputKeyLocalizedNameRightAlt,Tutorial,右Alt
Right Ctrl,右Ctrl键,TutorialInputKeyLocalizedNameRightControl,Tutorial,右Ctrl
RMB,鼠标右键,TutorialInputKeyLocalizedNameRightMouseButton,Tutorial,鼠标右键
Right shift,右Shift键,TutorialInputKeyLocalizedNameRightShift,Tutorial,右Shift
Spacebar,空格键,TutorialInputKeyLocalizedNameSpacebar,Tutorial,空格
UP,向上键,TutorialInputKeyLocalizedNameUp,Tutorial,上
Press {0} and move the Right Stick to check your surroundings.,按住 {0} 并移动右摇杆来观察周围环境。,TutorialListenSurroundings,Tutorial,按下 {0} 并移动右操作桿观察四周。
Press {0} and move the crosshair to check your surroundings. ,按住 {0} 并移动十字键来观察周围环境。,TutorialListenSurroundingsKeyboard,Tutorial,按下 {0} 并移动十字键来观察四周。
Mix punches and kicks to create different combos.,通过拳脚组合来创造不同的连招。,TutorialMixPunchesAndKicks,Tutorial,通过混合拳击踢技可以发动不同的连击。
Press {0} to parry when an enemy flashes red.,当敌人闪红光时按 {0} 来招架。,TutorialParry,Tutorial,当敌人发出红色光芒时按下 {0} 进行反击。
Press {0} to perform a dodge roll.,按 {0} 进行闪避翻滚。,TutorialPerformRoll,Tutorial,按下 {0} 发动翻滚躲避攻击。
Press {0} near a barrel to throw it.,靠近圆桶时按 {0} 来投掷它。,TutorialQuicklyThrowObjects,Tutorial,在圆桶附近按下 {0} 投掷它。
Replenish your vitality by killing enemies. ,通过击杀敌人来恢复你的生命。,TutorialReplenishHealth,Tutorial,杀死敌人恢复你的生命力。
Enemies can hear your stealth kills if they are close.,若敌人靠得很近，则你进行暗杀时会被听见。,TutorialSilentKillMakeNoise,Tutorial,敌人足够接近时能发觉到暗杀发出的声响。
Melee weapons have limited durability and will break.,近战武器有一定耐久且会损坏。,TutorialWeaponsHaveDurability,Tutorial,近战武器拥有耐久度并且会损坏。
Fast attack - good for single targets.,快速攻击——适合单个目标。,FistsAbilityDescription,Upgrades,快速攻击 - 适于攻击单个目标。
PUNCHES,拳技,FistsAbilityName,Upgrades,拳击
damage,伤害,FistsAbilityStat,Upgrades,伤害
Heavy attack - good for multiple targets.,重攻击——适合复数目标。,KicksAbilityDescription,Upgrades,重攻击 - 适于攻击复数目标。
KICKS,踢技,KicksAbilityName,Upgrades,踢技
damage,伤害,KicksAbilityStat,Upgrades,伤害
Replaces regular attacks; every hit damages the weapon.,会取代常规的攻击手段；每次攻击都会对武器耐久造成损耗。,MeleeAbilityDescription,Upgrades,代替通常攻击；每次击中都会对武器造成损伤。
MELEE WEAPONS,近战武器,MeleeAbilityName,Upgrades,近战武器
durability on pickup,的拾取耐久度,MeleeAbilityStat,Upgrades,拾取耐久度
"Progresses as you level up PUNCHES, KICKS and MELEE WEAPONS.",拳技，踢技和近战武器的升级进度。,MonkAbilityDescription,Upgrades,拳击，踢技和近战武器的升级进度。
MONK,武僧,MonkAbilityName,Upgrades,武僧
melee defense,近战防御,MonkAbilityStat,Upgrades,近战防护
Cheap but reliable sidearm.,便宜但可靠的武器。,PistolAbilityDescription,Upgrades,便宜但是可靠的副武器。
PISTOL,手枪,PistolAbilityName,Upgrades,手枪
ammo on pickup,发子弹拾取数,PistolAbilityStat,Upgrades,弹药拾取数
Working prototype - destroys everything on its path.,原型机——能摧毁路上所有东西。,PlasmaAbilityDescription,Upgrades,实用的原型武器 - 毁灭路径上所有的物体。
PLASMA,电磁枪,PlasmaAbilityName,Upgrades,电磁枪
ammo on pickup,发子弹拾取数,PlasmaAbilityStat,Upgrades,弹药拾取数
Pinpoint accuracy - deadly in the hands of a professional.,高精度——在专家手中非常致命。,RifleAbilityDescription,Upgrades,精准的命中率 - 在专家手里非常致命。
CARBINE,卡宾枪,RifleAbilityName,Upgrades,卡宾枪
ammo on pickup,发拾取子弹数,RifleAbilityStat,Upgrades,弹药拾取数
Extreme shooting speed - ideal against numerous weak targets.,射速极高——很适合用来对付大量的弱小目标。,SMGAbilityDescription,Upgrades,极限的射速 - 适合对付大量脆弱目标。
SMG,冲锋枪,SMGAbilityName,Upgrades,冲锋枪
ammo on pickup,发拾取子弹数,SMGAbilityStat,Upgrades,弹药拾取数
Lots of damage - very effective at close range.,大量伤害——近距离射击非常有效。,ShotgunAbilityDescription,Upgrades,大量伤害 - 近距离作战十分有效。
SHOTGUN,霰弹枪,ShotgunAbilityName,Upgrades,霰弹枪
ammo on pickup,发子弹拾取数,ShotgunAbilityStat,Upgrades,弹药拾取数
"Progresses as you level up PISTOL, SHOTGUN, RIFLE, SMG and PLASMA.",手枪，霰弹枪，步枪，冲锋枪和电磁枪的升级进度。,SoldierAbilityDescription,Upgrades,手枪，霰弹枪，步枪，冲锋枪和电磁枪的升级进度。
SOLDIER,士兵,SoldierAbilityName,Upgrades,士兵
range defense,远程防御,SoldierAbilityStat,Upgrades,远程防护
Manuscripts,手稿,ManuscriptsName,UpgradesUI,手稿
Tablets,平板,TabletsName,UpgradesUI,平板
UPGRADES,升级,UpgradesScreenName,UpgradesUI,升级
